Bid made: 2020/06/01 12:01:45.595790, BTC/USDT, Price: 11455.4, Amount: 0.00872949
Bid made: 2020/06/01 12:02:00.614573, BTC/USDT, Price: 11454.7, Amount: 0.00800103
Bid made: 2020/06/01 12:02:15.632215, BTC/USDT, Price: 11455.4, Amount: 0.00733248
Bid made: 2020/06/01 12:02:30.646682, BTC/USDT, Price: 11456.3, Amount: 0.00671959
Bid made: 2020/06/01 12:02:45.658872, BTC/USDT, Price: 11455.8, Amount: 0.00615878
Bid made: 2020/06/01 12:03:00.673280, BTC/USDT, Price: 11453.5, Amount: 0.00564564
Bid made: 2020/06/01 12:03:15.689811, BTC/USDT, Price: 11453.5, Amount: 0.00517423
Bid made: 2020/06/01 12:03:30.703201, ETH/BTC, Price: 0.029838, Amount: 33.6744
Bid made: 2020/06/01 12:03:45.717356, ETH/BTC, Price: 0.0298335, Amount: 33.6794
Bid made: 2020/06/01 12:09:16.597391, DOGE/USDT, Price: 0.00309018, Amount: 17576.6
Bid made: 2020/06/01 12:09:31.611038, DOGE/USDT, Price: 0.00308929, Amount: 16113.6
Bid made: 2020/06/01 12:09:46.623087, BTC/USDT, Price: 11438, Amount: 0.0039887
Bid made: 2020/06/01 12:10:01.639175, DOGE/USDT, Price: 0.00308754, Amount: 13542.6
Bid made: 2020/06/01 12:10:46.679485, BTC/USDT, Price: 11441, Amount: 0.00334953
Bid made: 2020/06/01 12:11:01.693735, BTC/USDT, Price: 11440.1, Amount: 0.00307009
Bid made: 2020/06/01 12:11:16.707436, BTC/USDT, Price: 11433.2, Amount: 0.00281544
Bid made: 2020/06/01 12:14:01.869265, DOGE/USDT, Price: 0.00308668, Amount: 9557.72
Bid made: 2020/06/01 12:14:16.881198, DOGE/USDT, Price: 0.00308668, Amount: 8759.65
Bid made: 2020/06/01 12:14:31.893241, DOGE/USDT, Price: 0.00308668, Amount: 8028.22
Bid made: 2020/06/01 12:14:46.906624, DOGE/USDT, Price: 0.00308668, Amount: 7357.86
Bid made: 2020/06/01 12:15:01.920865, DOGE/USDT, Price: 0.00309419, Amount: 6727.11
Bid made: 2020/06/01 12:15:16.935936, DOGE/USDT, Price: 0.0030919, Amount: 6169.97
Bid made: 2020/06/01 12:15:31.950473, DOGE/USDT, Price: 0.00308921, Amount: 5659.7
Bid made: 2020/06/01 12:15:46.965450, BTC/USDT, Price: 11427.8, Amount: 0.0014022
Bid made: 2020/06/01 12:16:01.979403, BTC/USDT, Price: 11428.7, Amount: 0.00128501
Bid made: 2020/06/01 12:16:16.996972, BTC/USDT, Price: 11428, Amount: 0.00117779
Bid made: 2020/06/01 12:16:32.016112, BTC/USDT, Price: 11432.9, Amount: 0.00107898
Bid made: 2020/06/01 12:16:47.034878, BTC/USDT, Price: 11433.4, Amount: 0.000988845
Bid made: 2020/06/01 12:17:02.049843, BTC/USDT, Price: 11433.4, Amount: 0.000906276
Bid made: 2020/06/01 12:17:17.063890, BTC/USDT, Price: 11433.4, Amount: 0.000830602
Bid made: 2020/06/01 12:17:32.077975, BTC/USDT, Price: 11434.7, Amount: 0.000761162
Bid made: 2020/06/01 12:17:47.090687, BTC/USDT, Price: 11434.7, Amount: 0.000697605
Bid made: 2020/06/01 12:18:02.103859, BTC/USDT, Price: 11434, Amount: 0.000639391
Bid made: 2020/06/01 12:18:17.121679, BTC/USDT, Price: 11433.3, Amount: 0.000586039
Bid made: 2020/06/01 12:18:32.140635, BTC/USDT, Price: 11432.6, Amount: 0.000537139
Bid made: 2020/06/01 12:18:47.159725, BTC/USDT, Price: 11433.3, Amount: 0.000492254
Bid made: 2020/06/01 12:19:02.174945, BTC/USDT, Price: 11433.3, Amount: 0.000451151
Bid made: 2020/06/01 12:19:17.189879, BTC/USDT, Price: 11434.7, Amount: 0.000413432
Bid made: 2020/06/01 12:19:32.208540, BTC/USDT, Price: 11434.7, Amount: 0.000378911
Bid made: 2020/06/01 12:19:47.225904, BTC/USDT, Price: 11434.7, Amount: 0.000347271
Bid made: 2020/06/01 12:20:02.244283, BTC/USDT, Price: 11434.5, Amount: 0.000318277
Bid made: 2020/06/01 12:20:17.261317, ETH/BTC, Price: 0.0297952, Amount: 33.8117
Bid made: 2020/06/01 12:20:32.279866, ETH/BTC, Price: 0.029806, Amount: 33.7995
Bid made: 2020/06/01 12:20:47.298431, ETH/BTC, Price: 0.029806, Amount: 30.9772
Bid made: 2020/06/01 12:21:02.317807, ETH/BTC, Price: 0.029806, Amount: 28.3905
Bid made: 2020/06/01 12:21:17.335962, ETH/BTC, Price: 0.0298045, Amount: 26.0212
Bid made: 2020/06/01 12:21:32.353583, ETH/BTC, Price: 0.0297934, Amount: 23.8573
Bid made: 2020/06/01 12:21:47.370920, ETH/BTC, Price: 0.0297934, Amount: 21.8652
Bid made: 2020/06/01 12:22:32.416819, ETH/BTC, Price: 0.0298029, Amount: 21.8583
Bid made: 2020/06/01 12:22:47.429617, ETH/BTC, Price: 0.0297876, Amount: 21.8695
Bid made: 2020/06/01 12:25:32.591011, BTC/USDT, Price: 11429.2, Amount: 0.000291839
Bid made: 2020/06/01 12:25:47.604854, BTC/USDT, Price: 11430.5, Amount: 0.000267439
Bid made: 2020/06/01 12:26:02.616673, BTC/USDT, Price: 11430.2, Amount: 0.000245115
Bid made: 2020/06/01 12:26:17.628442, BTC/USDT, Price: 11431.8, Amount: 0.000224616
Bid made: 2020/06/01 12:26:32.642328, BTC/USDT, Price: 11431.8, Amount: 0.000205861
Bid made: 2020/06/01 12:26:47.656157, BTC/USDT, Price: 11431.2, Amount: 0.000188681
Bid made: 2020/06/01 12:27:02.669524, BTC/USDT, Price: 11429.5, Amount: 0.000172952
Bid made: 2020/06/01 12:27:17.682575, BTC/USDT, Price: 11428.2, Amount: 0.000158528
Bid made: 2020/06/01 12:27:32.699287, BTC/USDT, Price: 11428.2, Amount: 0.000145291
Bid made: 2020/06/01 12:27:47.714285, DOGE/USDT, Price: 0.00308152, Amount: 493.839
Bid made: 2020/06/01 12:29:32.813367, ETH/BTC, Price: 0.0297801, Amount: 20.0541
Bid made: 2020/06/01 12:29:47.825284, ETH/BTC, Price: 0.0297786, Amount: 20.0551
Bid made: 2020/06/01 12:30:02.839413, ETH/BTC, Price: 0.0297636, Amount: 18.3898
Bid made: 2020/06/01 12:30:17.854152, ETH/BTC, Price: 0.0297621, Amount: 16.8551
Bid made: 2020/06/01 12:30:32.866864, ETH/BTC, Price: 0.0297621, Amount: 16.8551
Bid made: 2020/06/01 12:32:17.970999, ETH/BTC, Price: 0.0297678, Amount: 16.8518
Bid made: 2020/06/01 12:32:32.984944, ETH/BTC, Price: 0.0297633, Amount: 16.8544
Bid made: 2020/06/01 12:35:33.152638, BTC/USDT, Price: 11426.1, Amount: 0.000122063
Bid made: 2020/06/01 12:35:48.169274, BTC/USDT, Price: 11429.1, Amount: 0.000111841
Bid made: 2020/06/01 12:36:03.184327, BTC/USDT, Price: 11429, Amount: 0.000102504
Bid made: 2020/06/01 12:36:18.198764, BTC/USDT, Price: 11434.1, Amount: 9.39023e-05
Bid made: 2020/06/01 12:36:33.212646, BTC/USDT, Price: 11431.8, Amount: 8.60791e-05
Bid made: 2020/06/01 12:36:48.226527, BTC/USDT, Price: 11428.4, Amount: 7.89148e-05
Bid made: 2020/06/01 12:37:03.240381, BTC/USDT, Price: 11429.6, Amount: 7.23181e-05
Bid made: 2020/06/01 12:37:18.254873, BTC/USDT, Price: 11430.2, Amount: 6.62756e-05
Bid made: 2020/06/01 12:37:33.267092, BTC/USDT, Price: 11430.2, Amount: 6.07416e-05
Bid made: 2020/06/01 12:37:48.280189, BTC/USDT, Price: 11425.8, Amount: 5.56913e-05
Bid made: 2020/06/01 12:38:03.293342, BTC/USDT, Price: 11425.6, Amount: 5.10418e-05
Bid made: 2020/06/01 12:38:18.313118, BTC/USDT, Price: 11425.6, Amount: 4.67799e-05
Bid made: 2020/06/01 12:40:18.427341, BTC/USDT, Price: 11433, Amount: 4.2846e-05
Bid made: 2020/06/01 12:40:33.438755, BTC/USDT, Price: 11434.7, Amount: 3.92628e-05
Bid made: 2020/06/01 12:40:48.452751, BTC/USDT, Price: 11434.7, Amount: 3.59843e-05
Bid made: 2020/06/01 12:41:03.465384, BTC/USDT, Price: 11434.7, Amount: 3.29796e-05
Bid made: 2020/06/01 12:41:18.478421, BTC/USDT, Price: 11434.7, Amount: 3.02258e-05
Bid made: 2020/06/01 12:41:33.491344, BTC/USDT, Price: 11434.7, Amount: 2.7702e-05
Bid made: 2020/06/01 12:41:48.504286, BTC/USDT, Price: 11434.7, Amount: 2.53889e-05
Bid made: 2020/06/01 12:42:03.517881, BTC/USDT, Price: 11434.5, Amount: 2.32692e-05
Bid made: 2020/06/01 12:42:18.530226, BTC/USDT, Price: 11433.2, Amount: 2.13287e-05
Bid made: 2020/06/01 12:42:33.543846, BTC/USDT, Price: 11434.7, Amount: 1.95452e-05
Bid made: 2020/06/01 12:42:48.557032, BTC/USDT, Price: 11433.1, Amount: 1.79156e-05
Bid made: 2020/06/01 12:43:03.572473, BTC/USDT, Price: 11434.2, Amount: 1.64181e-05
Bid made: 2020/06/01 12:43:18.588466, BTC/USDT, Price: 11433.7, Amount: 1.50479e-05
Bid made: 2020/06/01 12:43:33.602010, BTC/USDT, Price: 11434.4, Amount: 1.37905e-05
